Название (App Store),Комментарий,App ID,Bundle ID,Разработчик,Версия,Мин. iOS,iOS,iPadOS,Размер (МБ),Добавлено,RU,TR,IN,US,KZ,AM,AZ,BY,KG,TJ,TM,UA,UZ,DE,EE,FR,IT,LT,LV,PL,HK,CN,TW,BR,CA,GE,IL,JP,ZA
Бери заряд: аккумулятор рядом,,1458730835,com.berizaryad,Mikromobilnost doo,700.157.0,16.0,✓,✓,386.7,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
билайн,,569251594,ru.beeline.mobile,PJSC VimpelCom,5.46.6,16.0,✓,✓,330.1,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
билайн книги и аудиокниги,,1132022519,ru.beeline.booksreader,PJSC VimpelCom,3.67,14.0,✓,✓,78.6,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Билайн Транспорт,,6755870463,ru.beeline.tracker.transport,PJSC VimpelCom,1.0.2.66,13.0,✓,✓,45.9,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Быстро Продукты,Лента,6797494251,com.alena.bistro,Alena Kudryavtseva,6.88,16.0,✓,✓,270.9,08.09.2026,✓,✗,✗,✗,✓,✗,✓,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Валидатор,,1532074871,ru.x5.scangosecurity,X5 Retail Group,1.0,11.0,✓,✓,14.6,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Везёт — заказ такси,,1594649926,ru.yandex.vezet,"KRONOS, OOO",2.32.0,13.0,✓,✓,50.4,14.09.2026,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Видео билайн для бизнеса,,1566372601,ru.beeline.surveillance.b2b,PJSC VimpelCom,3.2.2,15.0,✓,✓,68.8,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Видеонаблюдение Билайн,,1558661545,ru.beeline.surveillance.b2c,PJSC VimpelCom,2.38.4,13.0,✓,✓,82.7,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Вози Ozon,,6478118390,ru.ozon.shipping,OZON.ru,1.57.0,16.0,✓,✓,317.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Вторая память – облако от МТС,,1489166891,ru.mts.twomem,Mobile TeleSystems Public Joint Stock Company,1.37.0,13.0,✓,✓,80.8,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Госключ,,1566096745,ru.gosuslugi.goskey,Минкомсвязь РФ,2.20.0,14.0,✓,✓,81.5,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Госуслуги,,1367959794,com.minsvyaz.gosuslugi,Минкомсвязь РФ,27.0.2,14.0,✓,✓,599.2,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Госуслуги Авто,,1567511367,com.minsvyaz.gosuslugi.auto,Минкомсвязь РФ,12.0.0,14.0,✓,✓,186.5,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Госуслуги Волонтёр,,6743647596,ru.gosuslugi.volunteer,Минкомсвязь РФ,1.0.10,13.0,✓,✓,45.5,27.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Госуслуги Карта болельщика,,6444009263,com.minsvyaz.gosuslugi.fanid,Минкомсвязь РФ,1.9.0,14.0,✓,✓,80.2,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Госуслуги Культура,,1581979387,ru.gosuslugi.culture,Минкомсвязь РФ,2.31.0,15.0,✓,✓,203.9,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Госуслуги Моя школа,,6670786037,com.minsvyaz.gosuslugi.school,Минкомсвязь РФ,5.0.0,14.0,✓,✓,127.1,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Госуслуги Решаем вместе,,1516448015,ru.gosuslugi.pos,Минкомсвязь РФ,2.16.0,13.0,✓,✓,77.8,27.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Деливери: еда и продукты,,436145623,am.helix.Delivery-Club,Mikromobilnost doo,26.35.0,16.0,✓,✓,321.8,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Дикси.Staff,,1541139215,ru.dixy.personal,DIXY,6.1.02,13.0,✓,✓,76.1,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Дикси: доставка продуктов,,1411447398,ru.dixy.release,DIXY,4.13.1+1201,13.0,✓,✓,221.3,14.09.2026,✓,✓,✗,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗
Дилер онлайн,,1507390939,ru.beeline.dol,PJSC VimpelCom,2.187.0,13.0,✓,✓,54.9,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Диск #CloudMTS,,1552686247,ru.mts.diskv2,Mobile TeleSystems Public Joint Stock Company,1.0,11.4,✓,✓,18.1,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Диск #CloudMTS Бизнес,,1531663253,disk.cloud.mts,Mobile TeleSystems Public Joint Stock Company,1.3.2,9.0,✓,✓,94.9,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Дом с Алисой,,1582810683,com.yandex.iot,Direct Cursus Computer Systems Trading,126.17.1445100,15.0,✓,✓,153.9,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Домиленд+,,6743001150,com.domyland.superdom,Direct Cursus Computer Systems Trading,4.23.0,15.0,✓,✓,300.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Единый мониторинг,,6443979859,ru.beeline.tracker.monitoring,PJSC VimpelCom,3.0.0.202,13.0,✓,✓,83.0,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Замени гудок: Привет от билайн,,962279650,ru.beeline.Rbt,PJSC VimpelCom,4.2.6,16,✓,✓,15.8,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
"Защитник: антиспам, звонки",,1449599084,com.mts.whocalls,Mobile TeleSystems Public Joint Stock Company,3.1.1,16.0,✓,✓,40.2,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Здоровье и страхование,СОГАЗ,6448322800,kz.origon.empapp,"KAZROSGROUP, TOO",3.12.0,15.1,✓,✓,114.6,28.08.2026,✓,✗,✗,✗,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Календарь: Умный помощник,Рамблер & Сбер Диск,6746786886,com.sdisk.mcd,Irina Ishutkina,1.3.0,18.0,✓,✓,67.2,28.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Кино.Дом,Movix,6753332416,tv.fimstv.com,LLC Napa Labs,1.0.5,17,✓,✗,99.3,28.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Кинопоиск－фильмы，сериалы，спорт,,477718890,ru.kinopoisk,Direct Cursus Computer Systems Trading,8.64.2,17.0,✓,✓,408.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
"КИОН Музыка: песни, подкасты",,1062550132,ru.mts.mobile.music,Mobile TeleSystems Public Joint Stock Company,9.79.0,15.0,✓,✓,291.8,14.09.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✗,✗,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✓,✗,✗
КИОН Строки: книги и аудио,,1035268144,ru.mts.books,Mobile TeleSystems Public Joint Stock Company,5.63,16.0,✓,✓,213.9,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
КИОН – оригинальный кинотеатр,,1451612172,ru.mts.tvh,Mobile TeleSystems Public Joint Stock Company,5.18.5(19203265),17.0,✓,✓,393.0,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Корпоративный кабинет Бизнеса,Дом Ру Бизнес,6759156206,com.business.corpcabinet,Andrei Zinskii,1.4.6,14.0,✓,✓,88.4,28.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Красное&Белое - скидки и акции,,933816701,com.kb.app,"ООО ""Килобайт""",3.0.5,15.6,✓,✓,132.9,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Лидеры цифрового развития,,1469357577,ru.ddl,Минкомсвязь РФ,7.1.2,10.0,✓,✓,83.5,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Лёгко,Лента,6789156920,com.timofeykozuylichev.legko,Timofey Kozyulichev,1.0,16.0,✓,✓,331.9,28.08.2026,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Магнит для ресторанов,,6754906154,ru.magnit.vendorapp,ЗАО Тандер,1.2.0,26.1,✓,✓,44.9,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Магнит перевозки,,1609404781,ru.magnit.armhde,ЗАО Тандер,1.1.11,18.2,✓,✓,49.9,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Магнит Посылки,,6784311884,ru.tander.magnit.parcelsapp,ЗАО Тандер,1.4.0,15.0,✓,✓,66.1,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Магнит работа,,6780807994,ru.magnit.job,ЗАО Тандер,1.0.6,15.5,✓,✓,90.0,14.09.2026,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Магнит: акции и доставка,,881463973,ru.tander.magnit,ЗАО Тандер,8.121.0,15.0,✓,✓,611.4,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Маркет Курьер,,6762632272,ru.yandex.market.tpl.courierpro,Mikromobilnost doo,1.02,16.0,✓,✓,495.7,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Маркет ПВЗ,,6477712922,ru.yandex.market.pickuppointpro.ios,Mikromobilnost doo,1.30.03,16.0,✓,✓,373.2,28.08.2026,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Метро Москвы – МЦД и МЦК,,1093391186,ru.mosmetro,ГУП Московский Метрополитен,4.5.13,16.0,✓,✓,220.5,14.09.2026,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓
Мобильное рабочее место,,1544422444,ru.x5.mrm-ios,X5 Retail Group,1.9,14.1,✓,✓,9.3,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Мобильный МОПОД,,1500404249,ru.dixy.mopod.mobile.ios,DIXY,1.3.11,9.0,✓,✓,89.8,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Мобио,СберМобайл,6763622616,ru.tele-tie.app,ООО «Телетай»,1.0.1,16.6,✓,✓,67.2,14.09.2026,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✗,✓,✓,✓,✓
Мобискан,,1497481771,com.magnit.mobiscan,ЗАО Тандер,1.0.6,13.0,✓,✓,95.2,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Мой АШАН доставка продуктов,,1566122910,ru.myauchan.ios,АШАН Россия,4.0.7,15.4,✓,✓,131.6,14.09.2026,✓,✗,✗,✗,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Мой график,,6759442144,com.bluecollars.grafik,Mikromobilnost doo,93.101,16.0,✓,✓,364.8,28.08.2026,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Мой МТС,,1069871095,ru.mts.mymts,Mobile TeleSystems Public Joint Stock Company,6.75.0,15.0,✓,✓,541.8,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Московский транспорт,,1227002793,com.mosgorpass.socialsys,Департамент транспорта Москвы,10.0.6,15.6,✓,✓,396.0,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Моя Тройка: навигация и баланс,,1548905615,ru.mosmetro.regional,ГУП Московский Метрополитен,2.0.7,13.4,✓,✓,203.6,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
МП. Инспектор,,6446196047,ru.minsvyaz.tor.inspector,Минкомсвязь РФ,3.0.1,15,✓,✓,90.0,27.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
МТС GOOD'OK - замени гудок,,904601384,goodok.mts.ru,Mobile TeleSystems Public Joint Stock Company,4.50.0,15.0,✓,✓,68.7,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
МТС Live: афиша и билеты,,1539924684,ru.mts.live.app,Mobile TeleSystems Public Joint Stock Company,0.50.0,15.0,✓,✓,150.3,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
МТС Домофон,,1461771719,ru.mts.intercoms,Mobile TeleSystems Public Joint Stock Company,2.7.0,15,✓,✓,146.6,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
МТС Умный дом,,6444015366,ru.mtsdigital.smarthome,Mobile TeleSystems Public Joint Stock Company,2.21.0,16.0,✓,✓,322.0,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
О'КЕЙ Гипермаркеты и доставка,Лента,1087812169,ru.surf.okey,"ООО ""О'КЕЙ""",4.36.1,14.0,✓,✓,51.1,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Облако билайн: сейф для фото,,1495684365,ru.beeline.cloud,PJSC VimpelCom,8.9.0,13.0,✓,✓,387.2,14.09.2026,✓,✓,✗,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✓,✓,✗,✓,✗
Парковки России,,1434426876,ru.mosparking,Департамент транспорта Москвы,3.0.5,15,✓,✓,49.4,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Перекресток доставка продуктов,,1052681694,com.x5retailgroup.perekrestok-new,X5 Retail Group,3.98.0,16.0,✓,✓,484.1,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Перекрёсток Впрок гипермаркет,,1510812169,ru.x5.perekrestokDarkstore,X5 Retail Group,2.25.3,15.0,✓,✓,140.6,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Победа80,,6738048174,com.minsvyaz.pobeda80,Минкомсвязь РФ,1.4.13,13.1,✓,✓,45.9,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Подорожник Санкт-Петербург,,6478869877,com.orgp.podorozhnik,"СПб ГКУ ""Организатор перевозок""",1.0.36,15.1,✓,✓,31.0,14.09.2026,✓,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Помощник Москвы,,1023672049,ru.mos.helper,Департамент транспорта Москвы,3.3.0,16.0,✓,✓,136.2,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Попкорн.билайн,,1056140537,com.spbtv.ru.ios,PJSC VimpelCom,4.0.0,14.0,✓,✓,146.4,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
ПОС Отвечаем,,1595068067,com.minsvyaz.exec,Минкомсвязь РФ,1.7.0,13.0,✓,✓,105.9,27.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
ПРОинфраструктура,,6471266129,ru.mos.proinfra,Департамент транспорта Москвы,10.5.0,11.0,✓,✓,164.7,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ПроСкорость,ДомРУ,6754636283,kg.mkyp.speedmeasurementapp,"MK YUZHNY PROGRESS, OSOO",1.3.0,18.0,✓,✓,142.9,28.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Профразвитие госслужащих,,1530163422,com.gossluzhba.profrazvitie,Минкомсвязь РФ,1.2,13.0,✓,✓,23.5,27.08.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Пункт Ozon,,1535791151,ru.ozon.ozonPvz,OZON.ru,3.62.1,15.0,✓,✓,169.8,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Рисовайка. Раскраска для детей,,6473257498,ru.yandex.mobile.drawie,Direct Cursus Computer Systems Trading,0.7.82_315882,15.0,✓,✓,676.3,28.08.2026,✓,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Робот-доставщик,,6753585429,ru.yandex.rovertoy.app,Mikromobilnost doo,1.0.4,17.0,✓,✓,55.9,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
РУбли,УБРиБ,6754563452,ru.coinsplit.m,Olesya Fedotova,5.18.0,15.0,✓,✓,209.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
Свои Плюсы Едадил: кешбэк,,700569948,com.s-g-i.Edadeal,Direct Cursus Computer Systems Trading,26.37.0,15.0,✓,✓,188.7,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Сказбука — познавательные игры,,1395112217,com.zebrainy.newskazbuka,Direct Cursus Computer Systems Trading,8.10.83_315859,15.0,✓,✓,1982.3,28.08.2026,✓,✗,✗,✗,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
СмартРезерв,,6755245705,ru.yandex.smartreserve,Mikromobilnost doo,2.14.0,15.5,✓,✓,66.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Социальное Такси,,1600921492,taxi.tm.id3064,Департамент транспорта Москвы,15.0.5,12.4,✓,✓,103.7,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Тая ИИ,От Т-Банка,6782032088,ru.taya-assistant.app,Yuliya Lyskavets,1.1.2,16.6,✓,✓,36.7,08.09.2026,✗ (09.09.2026),✗,✗,✗,✗ (09.09.2026),✗ (09.09.2026),✗,✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗,✗,✗ (09.09.2026),✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗ (09.09.2026),✗,✗,✗
Твой Магнит,,1574722360,ru.magnit.hr-test.ios,ЗАО Тандер,1.116.0,14.0,✓,✓,102.2,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Телемост Мессенджер от Яндекса,,1527737302,ru.yandex.telemost,Direct Cursus Computer Systems Trading,3.31.0,16.0,✓,✓,525.9,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
